Statistical profiling result from isolate-0x2c85af0-4278-v8.log, (33070 ticks, 80 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      7    0.0%    0.0%  LazyCompile: *getNewItems /home/isucon/isucari/webapp/nodejs/index.js:127:27
      7    0.0%    0.0%  LazyCompile: *exports.decode /home/isucon/isucari/webapp/nodejs/node_modules/mysql2/lib/parsers/string.js:5:26
      6    0.0%    0.0%  LazyCompile: *writeInt8 /home/isucon/isucari/webapp/nodejs/node_modules/mysql2/lib/packets/packet.js:707:12
      6    0.0%    0.0%  LazyCompile: *maybeReadMore_ _stream_readable.js:601:24
      6    0.0%    0.0%  LazyCompile: *Socket net.js:236:16
      5    0.0%    0.0%  LazyCompile: *parse url.js:154:37
      5    0.0%    0.0%  LazyCompile: *emitReadable_ _stream_readable.js:566:23
      5    0.0%    0.0%  LazyCompile: *_storeHeader _http_outgoing.js:306:22
      5    0.0%    0.0%  LazyCompile: *Writable.write _stream_writable.js:275:36
      5    0.0%    0.0%  LazyCompile: *Socket._destroy net.js:566:37
      4    0.0%    0.0%  RegExp: ; *
      4    0.0%    0.0%  LazyCompile: *parserOnHeadersComplete _http_common.js:70:33
      4    0.0%    0.0%  LazyCompile: *insert internal/timers.js:305:16
      4    0.0%    0.0%  LazyCompile: *get net.js:1584:6
      4    0.0%    0.0%  LazyCompile: *connectionListenerInternal _http_server.js:362:36
      4    0.0%    0.0%  LazyCompile: *Writable.uncork _stream_writable.js:312:37
      4    0.0%    0.0%  LazyCompile: *UTF8Decoder.decode /home/isucon/isucari/webapp/nodejs/node_modules/busboy/deps/encoding/encoding.js:1038:25
      4    0.0%    0.0%  LazyCompile: *Readable.resume _stream_readable.js:946:37
      4    0.0%    0.0%  LazyCompile: *<anonymous> /home/isucon/isucari/webapp/nodejs/index.js:384:33
      3    0.0%    0.0%  RegExp: [A-Za-z0-9\/+]
